attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,978824,0,-2048,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
0,978824,0,1705,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
0,978824,0,1992,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
0,978824,0,316,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
0,978824,0,-2048,1422796,825469,776407,1490206,1220971,1015776,469842,80,0,2
0,393217,0,-124,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,375,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,385,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,326,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,236,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,2022,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,-1656,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,627,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,818,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,393217,0,2047,51957,6215,10011,16901,21208,18664,14336,200,0,2
0,695998,0,656,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,1884,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,1175,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,300,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,502,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,2047,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,1017,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,819,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,165,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,695998,0,65,213472,127866,151843,170367,95729,84538,78977,200,0,2
0,114981,0,49,25952,20312,7538,19260,27818,24097,33203,200,0,2
0,114981,0,48,25952,20312,7538,19260,27818,24097,33203,200,0,2
0,114981,0,-1850,25952,20312,7538,19260,27818,24097,33203,200,0,2
