attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,53,0,45,17,4,18,5,9,6,9,54,0,1
0,53,0,45,17,4,18,5,9,6,9,54,0,1
0,53,0,48,17,4,18,5,9,6,9,54,0,1
0,53,0,45,17,4,18,5,9,6,9,54,0,1
0,53,0,45,17,4,18,5,9,6,9,54,0,1
0,53,0,48,17,4,18,5,9,6,9,54,0,1
0,53,0,48,17,4,18,5,9,6,9,54,0,1
0,5,0,48,3,14,7,11,22,8,73,54,0,1
0,5,0,44,3,14,7,11,22,8,73,54,0,1
0,5,0,45,3,14,7,11,22,8,73,54,0,1
0,5,0,49,3,14,7,11,22,8,73,54,0,1
0,5,0,49,3,14,7,11,22,8,73,54,0,1
0,5,0,49,3,14,7,11,22,8,73,54,0,1
0,5,0,49,3,14,7,11,22,8,73,54,0,1
0,5,0,45,3,14,7,11,22,8,73,54,0,1
0,5,0,45,3,14,7,11,22,8,73,54,0,1
0,21,0,49,3,0,1,7,2,4,549,200,0,1
0,21,0,48,3,0,1,7,2,4,549,200,0,1
0,21,0,43,3,0,1,7,2,4,549,200,0,1
0,21,0,41,3,0,1,7,2,4,549,200,0,1
0,21,0,36,3,0,1,7,2,4,549,200,0,1
0,21,0,167,3,0,1,7,2,4,549,200,0,1
0,21,0,149,3,0,1,7,2,4,549,200,0,1
0,21,0,251,3,0,1,7,2,4,549,200,0,1
0,21,0,-61,3,0,1,7,2,4,549,200,0,1
0,21,0,-185,3,0,1,7,2,4,549,200,0,1
0,530586,0,816,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-248,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-138,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-470,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-552,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-597,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,144,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-218,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,480,326650,41968,57687,27439,83610,14436,352747,200,0,1
0,530586,0,-71,326650,41968,57687,27439,83610,14436,352747,200,0,1
